# The delisting register. Forms 25 and 25-NSE are DELISTINGS;
# every 15* form is DEREGISTRATION and is never summed with them.
# A Form 15 can be filed by a company that was never listed.
# quarters read: 15, (2023, 1) to (2026, 3)
# delisting filings: 7399; distinct delisted issuers: 2781; deregistration filings: 2544
form	cik	company	date_filed	path
15-12G	1175483	Drive Shack Inc.	2023-01-03	edgar/data/1175483/0001140361-23-000200.txt
15-12G	1458631	Halberd Corp	2023-01-03	edgar/data/1458631/0001654954-23-000001.txt
15-12G	1603016	Hoegh LNG Partners LP	2023-01-03	edgar/data/1603016/0001104659-23-000010.txt
15-12G	1824301	Concord Acquisition Corp	2023-01-03	edgar/data/1824301/0001213900-23-000389.txt
15-12G	1824846	Healthcare Services Acquisition Corp	2023-01-03	edgar/data/1824846/0001140361-23-000011.txt
15-12G	1828325	Monument Circle Acquisition Corp.	2023-01-03	edgar/data/1828325/0001213900-23-000018.txt
15-12G	1829455	HENNESSY CAPITAL INVESTMENT CORP. V	2023-01-03	edgar/data/1829455/0001213900-23-000041.txt
15-12G	1829889	INSU ACQUISITION CORP III	2023-01-03	edgar/data/1829889/0001213900-23-000496.txt
15-12G	1832250	Group Nine Acquisition Corp.	2023-01-03	edgar/data/1832250/0001104659-23-000334.txt
15-12G	1833235	Property Solutions Acquisition Corp. II	2023-01-03	edgar/data/1833235/0001104659-23-000341.txt
15-12G	1838883	Accelerate Acquisition Corp.	2023-01-03	edgar/data/1838883/0001213900-23-000235.txt
15-12G	1841661	AF Acquisition Corp.	2023-01-03	edgar/data/1841661/0001213900-23-000371.txt
15-12G	1843608	Dila Capital Acquisition Corp	2023-01-03	edgar/data/1843608/0001104659-23-000352.txt
15-12G	732834	CONTINENTAL RESOURCES, INC	2023-01-03	edgar/data/732834/0001193125-23-000408.txt
15-12G	815094	ABIOMED INC	2023-01-03	edgar/data/815094/0001193125-23-000286.txt
15-12G	879101	KIMCO REALTY CORP	2023-01-03	edgar/data/879101/0001140361-23-000182.txt
